UniProt_AC,gene_name,uniprot_entry_name,protein_name,gpcr_class_letter,gpcr_class_name,gpcr_family,organism,chembl_target_id,n_pairs_in_db,has_gpcract_prediction
P29371,TACR3,NK3R_HUMAN,Neurokinin 3 receptor,A,Class A (Rhodopsin),Tachykinin receptors,Homo sapiens,CHEMBL4429,613,False
P30082,Gcgr,GLR_RAT,Glucagon receptor,,,,Rattus norvegicus,CHEMBL4720,4,False
P30083,Vipr1,VIPR1_RAT,Vasoactive intestinal polypeptide receptor 1,B1,Class B1 (Secretin),,Rattus norvegicus,CHEMBL1955712,43,False
P30098,TACR3,NK3R_CAVPO,Neuromedin-K receptor,A,Class A (Rhodopsin),,Cavia porcellus,CHEMBL3799,12,False
P30411,BDKRB2,BKRB2_HUMAN,Bradykinin B2 receptor,A,Class A (Rhodopsin),Bradykinin receptors,Homo sapiens,CHEMBL3157,558,False
P30518,AVPR2,V2R_HUMAN,Vasopressin V2 receptor,A,Class A (Rhodopsin),Vasopressin and oxytocin receptors,Homo sapiens,CHEMBL1790,745,True
P30542,ADORA1,AA1R_HUMAN,Adenosine A1 receptor,A,Class A (Rhodopsin),Adenosine receptors,Homo sapiens,CHEMBL226,5602,True
P30543,Adora2a,AA2AR_RAT,Adenosine receptor A2a,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL302,1013,False
P30545,Adra2b,ADA2B_MOUSE,Alpha-2B adrenergic receptor,A,Class A (Rhodopsin),,Mus musculus,CHEMBL2405,49,False
P30547,TACR1,NK1R_CAVPO,Substance-P receptor,A,Class A (Rhodopsin),,Cavia porcellus,CHEMBL3942,240,False
P30548,Tacr1,NK1R_MOUSE,Substance-P receptor,A,Class A (Rhodopsin),,Mus musculus,CHEMBL2668,3,False
P30550,GRPR,GRPR_HUMAN,Gastrin releasing peptide receptor,A,Class A (Rhodopsin),Bombesin receptors,Homo sapiens,CHEMBL4959,209,True
P30551,Cckar,CCKAR_RAT,Cholecystokinin receptor type A,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL2871,356,False
P30552,CCKBR,GASR_CANLF,Gastrin/cholecystokinin type B receptor,A,Class A (Rhodopsin),,Canis lupus familiaris,CHEMBL5595,15,False
P30553,Cckbr,GASR_RAT,Gastrin/cholecystokinin type B receptor,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL3508,223,False
P30556,AGTR1,AGTR1_HUMAN,Type-1 angiotensin II receptor,A,Class A (Rhodopsin),Angiotensin receptors,Homo sapiens,CHEMBL227,1184,True
P30557,Ptger3,PE2R3_MOUSE,Prostaglandin E2 receptor EP3 subtype,A,Class A (Rhodopsin),,Mus musculus,CHEMBL4336,15,False
P30559,OXTR,OXYR_HUMAN,Oxytocin receptor,A,Class A (Rhodopsin),Vasopressin and oxytocin receptors,Homo sapiens,CHEMBL2049,936,True
P30560,Avpr1a,V1AR_RAT,Vasopressin V1a receptor,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL2868,184,False
P30729,Drd4,DRD4_RAT,D(4) dopamine receptor,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL3361,16,False
P30872,SSTR1,SSR1_HUMAN,Somatostatin receptor 1,A,Class A (Rhodopsin),Somatostatin receptors,Homo sapiens,CHEMBL1917,444,False
P30874,SSTR2,SSR2_HUMAN,Somatostatin receptor 2,A,Class A (Rhodopsin),Somatostatin receptors,Homo sapiens,CHEMBL1804,644,True
P30935,Sstr3,SSR3_MOUSE,Somatostatin receptor type 3,A,Class A (Rhodopsin),,Mus musculus,CHEMBL2238,30,False
P30936,Sstr3,SSR3_RAT,Somatostatin receptor type 3,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL3340,1,False
